"","jid","SC_AGE_YEARS","var_cahmi","stem"
"1",1.16,3,"RecogBegin_16","How often can this child recognize the beginning sound of a word?"
"2",1.16,4,"RecogBegin_16","How often can this child recognize the beginning sound of a word?"
"3",1.16,5,"RecogBegin_16","How often can this child recognize the beginning sound of a word?"
"4",2.16,3,"RecogLetter_16","How many letters of the alphabet can this child recognize?"
"5",2.16,4,"RecogLetter_16","How many letters of the alphabet can this child recognize?"
"6",2.16,5,"RecogLetter_16","How many letters of the alphabet can this child recognize?"
"7",3.16,3,"RhymeWord_16","Can this child rhyme words?"
"8",3.16,4,"RhymeWord_16","Can this child rhyme words?"
"9",3.16,5,"RhymeWord_16","Can this child rhyme words?"
"10",4.16,3,"ClearExp_16","How often can this child explain things he or she has seen or done so that you get a very good idea of what happened?"
"11",4.16,4,"ClearExp_16","How often can this child explain things he or she has seen or done so that you get a very good idea of what happened?"
"12",4.16,5,"ClearExp_16","How often can this child explain things he or she has seen or done so that you get a very good idea of what happened?"
"13",5.16,3,"WriteName_16","How often can this child write his or her first name even if some of the letters aren't quite right or are backwards?"
"14",5.16,4,"WriteName_16","How often can this child write his or her first name even if some of the letters aren't quite right or are backwards?"
"15",5.16,5,"WriteName_16","How often can this child write his or her first name even if some of the letters aren't quite right or are backwards?"
"16",6.16,3,"COUNTTO","How high can this child count?"
"17",6.16,4,"COUNTTO","How high can this child count?"
"18",6.16,5,"COUNTTO","How high can this child count?"
"19",7.16,3,"RecogShapes_16","How often can this child identify basic shapes, such as a triangle, circle, or square?"
"20",7.16,4,"RecogShapes_16","How often can this child identify basic shapes, such as a triangle, circle, or square?"
"21",7.16,5,"RecogShapes_16","How often can this child identify basic shapes, such as a triangle, circle, or square?"
"22",8.16,3,"K2Q01","In general, how would you describe this child's health?"
"23",8.16,4,"K2Q01","In general, how would you describe this child's health?"
"24",8.16,5,"K2Q01","In general, how would you describe this child's health?"
"25",9.16,3,"K2Q01_D","How would you describe the condition of this child's teeth?"
"26",9.16,4,"K2Q01_D","How would you describe the condition of this child's teeth?"
"27",9.16,5,"K2Q01_D","How would you describe the condition of this child's teeth?"
"28",10.16,3,"UsePencil_16","When this child holds a pencil, does he or she use fingers to hold or does he or she grip it in his or fist?"
"29",10.16,4,"UsePencil_16","When this child holds a pencil, does he or she use fingers to hold or does he or she grip it in his or fist?"
"30",10.16,5,"UsePencil_16","When this child holds a pencil, does he or she use fingers to hold or does he or she grip it in his or fist?"
"31",11.16,3,"PlayWell_16","How often does this child play well with others?"
"32",11.16,4,"PlayWell_16","How often does this child play well with others?"
"33",11.16,5,"PlayWell_16","How often does this child play well with others?"
"34",12.16,3,"MakeFr3to5_16","Compared to other children his or her age, how much difficulty does this child have making or keeping friends?"
"35",12.16,4,"MakeFr3to5_16","Compared to other children his or her age, how much difficulty does this child have making or keeping friends?"
"36",12.16,5,"MakeFr3to5_16","Compared to other children his or her age, how much difficulty does this child have making or keeping friends?"
"37",13.16,3,"K6Q73_R","This child bounces back quickly when things do not go his or her way?"
"38",13.16,4,"K6Q73_R","This child bounces back quickly when things do not go his or her way?"
"39",13.16,5,"K6Q73_R","This child bounces back quickly when things do not go his or her way?"
"40",14.16,3,"HurtSad_16","How often does this child sho concern when others are hurt or unhappy?"
"41",14.16,4,"HurtSad_16","How often does this child sho concern when others are hurt or unhappy?"
"42",14.16,5,"HurtSad_16","How often does this child sho concern when others are hurt or unhappy?"
"43",15.16,3,"distracted_16","How often is this child easily distracted?"
"44",15.16,4,"distracted_16","How often is this child easily distracted?"
"45",15.16,5,"distracted_16","How often is this child easily distracted?"
"46",16.16,3,"SitStill1_16","Compared to other children his or her age, how often is this child able to sit still?"
"47",16.16,4,"SitStill1_16","Compared to other children his or her age, how often is this child able to sit still?"
"48",16.16,5,"SitStill1_16","Compared to other children his or her age, how often is this child able to sit still?"
"49",17.16,3,"WorkToFin_16","How often does this child keep working at something until he or she is finished?"
"50",17.16,4,"WorkToFin_16","How often does this child keep working at something until he or she is finished?"
"51",17.16,5,"WorkToFin_16","How often does this child keep working at something until he or she is finished?"
"52",18.16,3,"SimpleInst_16","When he or she is paying attention, how often can this child follow instructions to complete a simple task?"
"53",18.16,4,"SimpleInst_16","When he or she is paying attention, how often can this child follow instructions to complete a simple task?"
"54",18.16,5,"SimpleInst_16","When he or she is paying attention, how often can this child follow instructions to complete a simple task?"
"55",19.16,3,"DailyAct_16","DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do? AND To what extend do this child's health conditions or porblems affect their ability to do things?"
"56",19.16,4,"DailyAct_16","DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do? AND To what extend do this child's health conditions or porblems affect their ability to do things?"
"57",19.16,5,"DailyAct_16","DURING THE PAST 12 MONTHS, how often have this child's health conditions or problems affected their ability to do things other children their age can do? AND To what extend do this child's health conditions or porblems affect their ability to do things?"
